Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,225.04,225.83,223.88,225.24,214.83,91366500
2017-01-04,225.62,226.75,225.61,226.58,216.11,78744400
2017-01-05,226.27,226.58,225.48,226.4,215.94,78379000
2017-01-06,226.53,227.75,225.9,227.21,216.71,71559900
2017-01-09,226.91,227.07,226.42,226.46,215.99,46939700
2017-01-10,226.48,227.45,226.01,226.46,215.99,63771900
2017-01-11,226.36,227.1,225.59,227.1,216.6,74650000
2017-01-12,226.5,226.75,224.96,226.53,216.06,72113200
2017-01-13,226.73,227.4,226.69,227.05,216.56,62717900
2017-01-17,226.31,226.78,225.8,226.25,215.79,61240800
2017-01-18,226.54,226.8,225.9,226.75,216.27,54793300
2017-01-19,226.84,227.0,225.41,225.91,215.47,66608800
2017-01-20,226.7,227.31,225.97,226.74,216.26,129168600
2017-01-23,226.74,226.81,225.27,226.15,215.7,75061600
2017-01-24,226.4,228.08,226.27,227.6,217.08,95555300
2017-01-25,228.7,229.57,228.51,229.57,218.96,84437700
2017-01-26,229.4,229.71,229.01,229.33,218.73,59970700
2017-01-27,229.42,229.59,228.76,228.97,218.39,59711100
2017-01-30,228.17,228.2,226.41,227.55,217.03,79737300
2017-01-31,226.98,227.6,226.32,227.53,217.01,75880800
2017-02-01,227.53,228.59,226.94,227.62,217.1,79117700
2017-02-02,227.62,228.1,226.82,227.77,217.24,69657600
2017-02-03,228.82,229.55,228.46,229.34,218.74,80563200
2017-02-06,228.87,229.33,228.54,228.93,218.35,57790100
2017-02-07,229.38,229.66,228.72,228.94,218.36,57931200
2017-02-08,228.94,229.39,228.31,229.24,218.65,51566200
2017-02-09,229.24,230.95,229.24,230.6,219.94,65955200
2017-02-10,231.0,231.77,230.62,231.51,220.81,66015900
2017-02-13,232.08,233.07,232.05,232.77,222.01,55182100
2017-02-14,232.56,233.71,232.16,233.7,222.9,71109000
2017-02-15,233.45,235.14,233.39,234.92,224.06,86785800
2017-02-16,234.95,235.16,233.85,234.72,223.87,84722400
2017-02-17,233.95,235.09,233.93,235.09,224.23,77204100
2017-02-21,235.52,236.69,235.51,236.49,225.56,88946100
2017-02-22,236.02,236.54,235.83,236.28,225.36,62115200
