Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
INFY,EQ,12-Mar-18,1163.4,1176,1191.85,1171.75,1184,1185.75,1186.26,3838485,4553456409,82530
INFY,EQ,13-Mar-18,1185.75,1180.2,1197,1175.15,1182,1183.8,1187.19,4290526,5093652781,101093
INFY,EQ,14-Mar-18,1183.8,1180,1190.6,1169.1,1181.1,1180.8,1180.26,2214855,2614111790,54069
INFY,EQ,15-Mar-18,1180.8,1180,1188.4,1172,1181.9,1182.5,1180.88,3050750,3602569982,49232
INFY,EQ,16-Mar-18,1182.5,1182,1182.4,1169.25,1170,1171.9,1172.96,8977413,10530177258,156251
INFY,EQ,19-Mar-18,1171.9,1164,1180.5,1142.65,1148,1146.75,1156.94,3763310,4353937862,114366
INFY,EQ,20-Mar-18,1146.75,1148.6,1170,1148.6,1164.55,1164.55,1159.74,4276883,4960076508,111232
INFY,EQ,21-Mar-18,1164.55,1170,1175.5,1162.2,1166.2,1167.5,1171.53,3846497,4506270593,121529
INFY,EQ,22-Mar-18,1167.5,1164.5,1177.45,1155.3,1156,1161.3,1167.57,3406584,3977430906,82774
INFY,EQ,23-Mar-18,1161.3,1147,1173.8,1142.35,1165,1167.6,1164.59,6004042,6992254285,117145
INFY,EQ,26-Mar-18,1167.6,1166.9,1166.9,1144,1155.6,1155.25,1153.17,4465361,5149317139,101964
