Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,No. of Trades
INFY,EQ,2-Apr-18,1131.8,1141,1149.55,1121.3,1136.7,1137.15,1135.86,4036351,142078
INFY,EQ,3-Apr-18,1137.15,1134.7,1143.55,1128.1,1139.4,1140.45,1135.21,2038584,114034
INFY,EQ,4-Apr-18,1140.45,1144,,,,,,,137029
INFY,EQ,5-Apr-18,1124.2,,1151.3,1129.1,1146.05,1147.55,1140.71,3881772,
INFY,EQ,6-Apr-18,1147.55,1143,1146,1122.1,1127.55,,1128.81,2968871,137277
INFY,EQ,9-Apr-18,,,,1106.55,1111.45,1111.25,,3601441,171118
INFY,EQ,10-Apr-18,1111.25,1112,1124.5,,,,1115.77,,
INFY,EQ,11-Apr-18,1113.4,1118,1131.5,1116.5,1124.5,1124.25,1124.78,4512787,102586
INFY,EQ,12-Apr-18,,1129.45,,1125,1164.05,1162.6,1157.71,8522183,216130
INFY,EQ,13-Apr-18,1162.6,1174,1185.9,1150.25,1168,1171.45,1172.37,10613519,
