"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"18-Apr-2017","     9163.00","     9217.90","     9095.45","     9105.15","      179569574","         8527.50"
"19-Apr-2017","     9112.20","     9120.50","     9075.15","     9103.50","      179117382","         8950.27"
"20-Apr-2017","     9108.10","     9143.90","     9102.65","     9136.40","      175629897","         8843.50"
"21-Apr-2017","     9179.10","     9183.65","     9088.75","     9119.40","      159981265","         8476.63"
"24-Apr-2017","     9135.35","     9225.40","     9130.55","     9217.95","      172908048","         9720.75"
"25-Apr-2017","     9273.05","     9309.20","     9250.35","     9306.60","      173896951","        10426.02"
"26-Apr-2017","     9336.20","     9367.00","     9301.35","     9351.85","      191395120","        10483.32"
"27-Apr-2017","     9359.15","     9367.15","     9322.65","     9342.15","      215881711","        12910.38"
"28-Apr-2017","     9340.95","     9342.65","     9282.25","     9304.05","      167229353","         8673.32"
"02-May-2017","     9339.85","     9352.55","     9269.90","     9313.80","      166558241","         9110.59"
"03-May-2017","     9344.70","     9346.30","     9298.40","     9311.95","      156342492","         7975.14"
"04-May-2017","     9360.95","     9365.65","     9323.25","     9359.90","      277895923","        12379.74"
"05-May-2017","     9374.55","     9377.10","     9272.00","     9285.30","      239133531","        10466.68"
"08-May-2017","     9311.45","     9338.70","     9297.95","     9314.05","      179709949","         8300.22"
"09-May-2017","     9337.35","     9338.95","     9307.70","     9316.85","      136417428","         7504.66"
"10-May-2017","     9339.65","     9414.75","     9336.00","     9407.30","      157363135","         8619.06"
"11-May-2017","     9448.60","     9450.65","     9411.30","     9422.40","      176439840","         9289.89"
"12-May-2017","     9436.65","     9437.75","     9372.55","     9400.90","      159079418","         9813.47"
"15-May-2017","     9433.55","     9449.25","     9423.10","     9445.40","      145163953","         7790.97"
"16-May-2017","     9461.00","     9517.20","     9456.35","     9512.25","      171709433","         9209.89"
"17-May-2017","     9517.60","     9532.60","     9486.10","     9525.75","      211856040","        10726.23"
"18-May-2017","     9453.20","     9489.10","     9418.10","     9429.45","      199340647","        10782.46"
"19-May-2017","     9469.90","     9505.75","     9390.75","     9427.90","      259861396","        11544.77"
"22-May-2017","     9480.25","     9498.65","     9427.90","     9438.25","      202874757","         9432.97"
"23-May-2017","     9445.05","     9448.05","     9370.00","     9386.15","      231345629","        11553.27"
"24-May-2017","     9410.90","     9431.90","     9341.65","     9360.55","      218265181","        11045.95"
"25-May-2017","     9384.05","     9523.30","     9379.20","     9509.75","      298147347","        16964.26"
"26-May-2017","     9507.75","     9604.90","     9495.40","     9595.10","      225647631","        11204.36"
"29-May-2017","     9560.05","     9637.75","     9547.70","     9604.90","      242266034","        12484.61"
"30-May-2017","     9590.65","     9635.30","     9581.20","     9624.55","      199894193","         9765.40"
"31-May-2017","     9636.55","     9649.60","     9609.25","     9621.25","      427053433","        19605.94"
"01-Jun-2017","     9603.55","     9634.65","     9589.90","     9616.10","      181533283","         9482.61"
"02-Jun-2017","     9657.15","     9673.50","     9637.45","     9653.50","      167195027","         8564.30"
"05-Jun-2017","     9656.30","     9687.20","     9640.70","     9675.10","      131685021","         7192.24"
"06-Jun-2017","     9704.25","     9709.30","     9630.20","     9637.15","      150379695","         8416.55"
"07-Jun-2017","     9663.95","     9678.55","     9630.55","     9663.90","      165669924","         8989.36"
"08-Jun-2017","     9682.40","     9688.70","     9641.50","     9647.25","      160165459","         8822.63"
"09-Jun-2017","     9638.55","     9676.25","     9608.15","     9668.25","      163897548","         9078.71"
"12-Jun-2017","     9646.70","     9647.05","     9598.50","     9616.40","      145786938","         7686.89"
"13-Jun-2017","     9615.55","     9654.15","     9595.40","     9606.90","      133734363","         7056.83"
"14-Jun-2017","     9621.55","     9627.40","     9580.45","     9618.15","      187378750","        10540.68"
"15-Jun-2017","     9617.90","     9621.40","     9560.80","     9578.05","      176423424","         9868.08"
"16-Jun-2017","     9595.45","     9615.85","     9565.50","     9588.05","      219808528","        11920.62"
"19-Jun-2017","     9626.40","     9673.30","     9614.90","     9657.55","      146146062","         8144.36"
"20-Jun-2017","     9670.50","     9676.50","     9643.75","     9653.50","      164437226","         8476.67"
"21-Jun-2017","     9648.10","     9650.45","     9608.60","     9633.60","      148490556","         8023.40"
"22-Jun-2017","     9642.65","     9698.85","     9617.75","     9630.00","      204888654","        10738.45"
