"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TCS","EQ","18-Apr-2016","       2526.20","       2453.00","       2553.50","       2440.00","       2522.40","       2519.75","       2495.75","    3560752","          8886759956.75","     185897","    1683724","         47.29"
"TCS","EQ","20-Apr-2016","       2519.75","       2534.90","       2534.90","       2440.00","       2453.00","       2450.35","       2472.11","    3202512","          7916958058.35","     118381","    1605452","         50.13"
"TCS","EQ","21-Apr-2016","       2450.35","       2451.00","       2467.40","       2412.20","       2418.20","       2424.40","       2440.23","    1262862","          3081673106.25","      64118","     668774","         52.96"
"TCS","EQ","22-Apr-2016","       2424.40","       2419.00","       2435.40","       2404.20","       2423.40","       2417.05","       2420.24","     982063","          2376831048.35","      54414","     558188","         56.84"
"TCS","EQ","25-Apr-2016","       2417.05","       2402.30","       2457.05","       2402.30","       2453.00","       2451.25","       2441.63","    1133827","          2768388615.85","      56820","     760631","         67.09"
"TCS","EQ","26-Apr-2016","       2451.25","       2449.00","       2493.50","       2442.00","       2488.00","       2489.80","       2473.61","    1277184","          3159254631.30","      76806","     850243","         66.57"
"TCS","EQ","27-Apr-2016","       2489.80","       2480.00","       2514.60","       2475.90","       2511.50","       2511.10","       2502.32","     924335","          2312980759.75","      58165","     644463","         69.72"
"TCS","EQ","28-Apr-2016","       2511.10","       2501.30","       2540.00","       2498.10","       2527.00","       2527.75","       2526.07","    2496372","          6306021297.40","      93432","    1837651","         73.61"
"TCS","EQ","29-Apr-2016","       2527.75","       2517.00","       2542.00","       2510.00","       2540.10","       2535.50","       2529.22","    1186089","          2999874438.90","      78355","     815255","         68.73"
"TCS","EQ","02-May-2016","       2535.50","       2529.00","       2530.00","       2500.00","       2525.10","       2526.70","       2516.27","     558346","          1404946984.40","      33410","     336693","         60.30"
"TCS","EQ","03-May-2016","       2526.70","       2525.00","       2530.00","       2472.00","       2473.90","       2478.10","       2496.18","    1076559","          2687283771.80","      46517","     674261","         62.63"
"TCS","EQ","04-May-2016","       2478.10","       2473.90","       2494.05","       2457.00","       2478.00","       2478.00","       2472.40","     682446","          1687276873.00","      32957","     434174","         63.62"
"TCS","EQ","05-May-2016","       2478.00","       2478.00","       2489.95","       2463.55","       2469.30","       2470.30","       2472.47","     623283","          1541048678.15","      34994","     393436","         63.12"
"TCS","EQ","06-May-2016","       2470.30","       2465.00","       2484.30","       2431.00","       2479.00","       2473.40","       2456.60","     442799","          1087778645.55","      29141","     247145","         55.81"
"TCS","EQ","09-May-2016","       2473.40","       2473.40","       2518.00","       2456.40","       2514.60","       2512.55","       2499.22","     910638","          2275885334.45","      50476","     553930","         60.83"
"TCS","EQ","10-May-2016","       2512.55","       2515.00","       2533.95","       2496.00","       2522.90","       2522.90","       2515.63","     579267","          1457224317.35","      47846","     296598","         51.20"
"TCS","EQ","11-May-2016","       2522.90","       2500.00","       2525.60","       2490.00","       2524.80","       2518.30","       2514.08","     799358","          2009648151.90","      37888","     504838","         63.16"
"TCS","EQ","12-May-2016","       2518.30","       2520.55","       2569.90","       2520.55","       2566.00","       2566.20","       2554.51","     756541","          1932590566.45","      52202","     437035","         57.77"
"TCS","EQ","13-May-2016","       2566.20","       2565.00","       2566.00","       2510.15","       2525.00","       2523.40","       2530.28","     810865","          2051718778.45","      36862","     485088","         59.82"
"TCS","EQ","16-May-2016","       2523.40","       2538.00","       2564.80","       2522.50","       2552.75","       2551.15","       2543.39","     555763","          1413523384.30","      38211","     306818","         55.21"
"TCS","EQ","17-May-2016","       2551.15","       2564.20","       2591.25","       2552.00","       2570.00","       2570.20","       2572.85","     878349","          2259857856.80","      75704","     604405","         68.81"
"TCS","EQ","18-May-2016","       2570.20","       2565.85","       2565.85","       2526.05","       2553.00","       2551.10","       2543.29","     750370","          1908411835.35","      48191","     447136","         59.59"
"TCS","EQ","19-May-2016","       2551.10","       2555.00","       2560.00","       2526.10","       2555.00","       2556.95","       2548.52","     519396","          1323692275.05","      38811","     317123","         61.06"
"TCS","EQ","20-May-2016","       2556.95","       2542.30","       2565.80","       2522.80","       2529.90","       2529.30","       2542.91","     615459","          1565057535.90","      43356","     393072","         63.87"
"TCS","EQ","23-May-2016","       2529.30","       2544.00","       2545.90","       2480.20","       2483.00","       2491.45","       2510.13","     766508","          1924036943.55","      27319","     539677","         70.41"
"TCS","EQ","24-May-2016","       2491.45","       2484.00","       2488.25","       2459.60","       2468.60","       2467.70","       2467.63","     669579","          1652275660.35","      30007","     520162","         77.68"
"TCS","EQ","25-May-2016","       2467.70","       2481.00","       2532.95","       2481.00","       2520.95","       2526.45","       2514.12","     774339","          1946783700.20","      26986","     603628","         77.95"
"TCS","EQ","26-May-2016","       2526.45","       2530.00","       2564.90","       2505.10","       2560.00","       2548.70","       2537.20","     971624","          2465202922.30","      59703","     696644","         71.70"
