Company Name,Industry,Symbol,Series,ISIN Code,ROE
Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS,EQ,INE742F01042,16.3
Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS,AMBUJACEM,EQ,INE742F01042,10
Asian Paints Ltd.,CONSUMER GOODS,ASIANPAINT,EQ,INE021A01026,22.7
Aurobindo Pharma Ltd.,Pharma,AUROPHARMA,EQ,INE021A01026,20
Axis Bank Ltd.,FINANCIAL SERVICES,AXISBANK,EQ,INE238A01034,7
Bajaj Auto Ltd.,AUTOMOBILE,BAJAJ-AUTO,EQ,INE917I01010,21.2
Bajaj Finance Ltd.,FINANCIAL SERVICES,BAJFINANCE,EQ,INE296A01024,19.9
Bharat Petroleum Corporation Ltd.,ENERGY,BPCL,EQ,INE029A01011,19.4
Bharti Airtel Ltd.,TELECOM,BHARTIARTL,EQ,INE397D01024,0.6
Indus Towers Ltd,TELECOM,INDUSTOWER,EQ,INE121J01017,17.2
Bosch Ltd.,Automobile,BOSCHLTD,EQ,INE216A01030,15
Cipla Ltd.,PHARMA,CIPLA,EQ,INE059A01026,10.2
Coal India Ltd.,METALS,COALINDIA,EQ,INE522F01014,66
Dr. Reddy's Laboratories Ltd.,PHARMA,DRREDDY,EQ,INE089A01023,13.9
Eicher Motors Ltd.,AUTOMOBILE,EICHERMOT,EQ,INE066A01013,24.7
GAIL (India) Ltd.,ENERGY,GAIL,EQ,INE129A01019,13.7
HCL Technologies Ltd.,IT,HCLTECH,EQ,INE860A01027,24.5
HDFC Bank Ltd.,FINANCIAL SERVICES,HDFCBANK,EQ,INE040A01034,14.1
Hero MotoCorp Ltd.,AUTOMOBILE,HEROMOTOCO,EQ,INE158A01026,26.3
Hindalco Industries Ltd.,METALS,HINDALCO,EQ,INE038A01020,2.5
Hindustan Petroleum,ENERGY,HINDPETRO,EQ,INE038A01020,21
Hindustan Unilever Ltd.,CONSUMER GOODS,HINDUNILVR,EQ,INE030A01027,78.8
Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES,HDFC,EQ,INE001A01036,14.5
ICICI Bank Ltd.,FINANCIAL SERVICES,ICICIBANK,EQ,INE090A01021,3.2
Indiabulls Housing Finance,FINANCIAL SERVICES,IBULHSGFIN,,INE090A01021,23
ITC Ltd.,CONSUMER GOODS,ITC,EQ,INE154A01025,21.5
Indian Oil Corporation Ltd.,ENERGY,IOC,EQ,INE242A01010,15.5
IndusInd Bank Ltd.,FINANCIAL SERVICES,INDUSINDBK,EQ,INE095A01012,12.5
Infosys Ltd.,IT,INFY,EQ,INE009A01021,23.7
Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,KOTAKBANK,EQ,INE237A01028,12.5
Lupin,Pharma,LUPIN,EQ,INE237A01028,0.01
Larsen & Toubro Ltd.,CONSTRUCTION,LT,EQ,INE018A01030,14.3
Mahindra & Mahindra Ltd.,AUTOMOBILE,M&M,EQ,INE101A01026,14
Maruti Suzuki India Ltd.,AUTOMOBILE,MARUTI,EQ,INE585B01010,16.3
NTPC Ltd.,ENERGY,NTPC,EQ,INE733E01010,10.9
Oil & Natural Gas Corporation Ltd.,ENERGY,ONGC,EQ,INE213A01029,13.2
Power Grid Corporation of India Ltd.,ENERGY,POWERGRID,EQ,INE752E01010,16.8
Reliance Industries Ltd.,ENERGY,RELIANCE,EQ,INE002A01018,10.2
State Bank of India,FINANCIAL SERVICES,SBIN,EQ,INE062A01020,1.1
Sun Pharmaceutical Industries Ltd.,PHARMA,SUNPHARMA,EQ,INE044A01036,6.4
Tata Consultancy Services Ltd.,IT,TCS,EQ,INE467B01029,35.2
Tata Motors Ltd.,AUTOMOBILE,TATAMOTORS,EQ,INE155A01022,-47.9
Tata Steel Ltd.,METALS,TATASTEEL,EQ,INE081A01012,15.3
Tech Mahindra Ltd.,IT,TECHM,EQ,INE669C01036,21.2
UPL Ltd.,FERTILISERS & PESTICIDES,UPL,EQ,INE628A01036,9.9
UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS,ULTRACEMCO,EQ,INE481G01011,8.6
Vedanta Ltd.,METALS,VEDL,EQ,INE205A01025,11.3
Wipro Ltd.,IT,WIPRO,EQ,INE075A01022,16
Yes Bank Ltd.,FINANCIAL SERVICES,YESBANK,EQ,INE528G01027,6.4
Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,ZEEL,EQ,INE256A01028,17.6
