,companyTickers,forward pe,price to book,forward eps,beta,quick ratio,debt to equity
MMM,MMM,13.128205,5.9421372,10.92,0.945083,0.798,124.464
ACN,ACN,25.891247,9.010911,11.77,1.220519,1.143,15.849
ATVI,ATVI,20.800001,3.5104332,3.85,0.524052,5.092,20.234
ADBE,ADBE,25.952652,13.845143,15.84,1.108131,0.933,33.307
AMD,AMD,19.710794,2.83347,4.91,1.940825,1.83,3.898
AAP,AAP,12.759767,4.0790462,15.36,1.214559,0.217,136.984
AES,AES,12.7771435,6.7696037,1.75,0.974031,0.525,423.151
AFL,AFL,10.6,1.2394544,5.35,0.956577,0.461,34.484
A,A,25.17547,7.7779064,5.3,1.044699,1.348,59.918
APD,APD,21.44406,3.929281,11.53,0.841634,1.628,51.963
AKAM,AKAM,15.783113,3.5585504,6.04,0.647083,1.41,75.439
ALK,ALK,8.285714,1.5095096,5.46,1.469135,0.78,107.449
ALB,ALB,15.235556,4.823123,15.75,1.575138,0.567,43.769
ALGN,ALGN,25.734304,6.1603136,10.99,1.768412,1.015,2.732
ALLE,ALLE,16.619873,11.912945,6.34,1.054065,2.053,273.259
LNT,LNT,21.072664,2.513517,2.89,0.466581,0.36,131.512
ALL,ALL,9.420925,1.5092772,12.33,0.816943,0.264,34.502
GOOGL,GOOGL,19.175293,5.8812084,5.99,1.099616,2.642,11.28
GOOG,GOOG,19.311037,5.9129543,5.98,1.099616,2.642,11.28
AMCR,AMCR,15.52381,4.329349,0.84,0.831908,0.716,169.587
AEE,AEE,21.286041,2.4493127,4.37,0.367816,0.298,142.617
AEP,AEP,18.768938,2.1161647,5.28,0.357173,0.258,157.357
AXP,AXP,13.569027,4.955881,11.3,1.142613,1.616,183.043
AIG,AIG,8.101587,0.73646545,6.3,1.263516,0.186,51.526
AWK,AWK,32.428574,3.7612565,4.83,0.436781,0.442,154.663
AMP,AMP,9.554122,6.713512,27.9,1.506598,9.915,70.26
AME,AME,21.02749,4.076751,5.82,1.260962,0.816,39.112
APH,APH,25.088524,7.046689,3.05,1.210302,1.514,74.326
ADI,ADI,17.51379,2.4023428,9.79,1.093231,1.438,16.855
ANSS,ANSS,32.353416,5.565167,8.63,1.265219,2.174,20.398
ANTM,ANTM,14.862333,3.2347322,32.47,0.973684,1.221,67.137
AOS,AOS,16.692722,5.3360333,3.71,1.139208,1.164,18.471
AAPL,AAPL,24.809523,44.739613,6.51,1.19455,0.697,205.984
AMAT,AMAT,12.712068,7.9939895,8.37,1.503192,1.35,50.522
APTV,APTV,18.597902,3.4326096,5.72,1.999574,2.0,80.663
ADM,ADM,13.835796,1.937858,6.09,0.814814,0.357,50.788
ANET,ANET,27.672941,8.72672,4.25,1.281396,2.975,1.384
AJG,AJG,19.852705,4.119487,8.69,0.671775,0.807,76.305
AIZ,AIZ,12.017206,1.8965124,14.53,0.550021,0.145,43.875
T,T,7.4325395,1.1220944,2.52,0.691358,0.321,113.785
ATO,ATO,20.467905,1.8750579,5.92,0.475521,0.392,88.598
ADP,ADP,26.99329,31.134048,8.94,0.823329,0.084,108.343
AVB,AVB,43.833336,2.6434178,4.74,0.928905,0.545,74.431
AVY,AVY,17.830523,8.071804,10.68,0.932311,0.577,166.864
BKR,BKR,14.678572,1.6774368,1.68,1.520647,1.01,44.14
BAX,BAX,13.837264,3.336556,4.24,0.683695,1.13,192.699
BDX,BDX,19.964926,2.8453026,12.26,0.648786,0.821,75.984
BRK-B,BRK-B,20.348005,0.00085665134,14.54,0.914857,1.072,23.151
BBY,BBY,9.658721,6.248377,7.97,1.487441,0.167,142.465
BIO,BIO,35.48782,1.8426026,15.6,0.930608,3.95,15.597
BIIB,BIIB,13.269498,2.5592232,15.77,0.386547,1.355,63.653
BWA,BWA,7.839757,1.3134197,4.93,1.378458,1.214,61.052
BXP,BXP,26.02035,2.365799,3.44,1.162196,2.928,173.214
BMY,BMY,9.179551,4.821534,8.02,0.442315,1.234,131.812
AVGO,AVGO,13.429395,10.3881235,39.94,1.104725,1.749,188.023
BR,BR,22.820366,10.357578,7.07,0.922945,1.076,244.53
BF-B,BF-B,34.61111,13.083654,2.16,0.665815,1.626,85.641
CHRW,CHRW,16.697107,6.687393,6.57,0.74074,1.452,127.755
CDNS,CDNS,40.313725,19.303148,4.59,1.091528,1.386,13.256
CPB,CPB,17.037802,4.3837314,2.91,0.361004,0.262,147.069
KMX,KMX,16.825083,3.0133586,6.06,1.403575,0.313,354.698
CCL,CCL,11.15,1.2322145,0.8,2.153682,0.581,440.617
CARR,CARR,16.228,5.1005783,2.5,1.103526,1.181,129.534
CTLT,CTLT,27.070217,4.323948,4.13,1.32567,2.045,90.674
CAT,CAT,14.038905,6.090136,13.88,0.993188,0.863,219.828
CBOE,CBOE,17.5497,3.7889774,6.64,0.589186,0.553,64.947
