Date,BIDU
1/3/2012,124.29
1/4/2012,121.99
1/5/2012,123.27
1/6/2012,121.09
1/9/2012,120.01
1/10/2012,126.88
1/11/2012,128.19
1/12/2012,128.3
1/13/2012,127.41
1/17/2012,128.85
1/18/2012,126.07
1/19/2012,123.62
1/20/2012,122.8
1/23/2012,123.93
1/24/2012,121.75
1/25/2012,125.03
1/26/2012,123.9
1/27/2012,131.36
1/30/2012,130.73
1/31/2012,127.52
2/1/2012,127.73
2/2/2012,130.79
2/3/2012,134.53
2/6/2012,131.37
2/7/2012,129.49
2/8/2012,130.89
2/9/2012,135.445
2/10/2012,136.59
2/13/2012,140
2/14/2012,140.88
2/15/2012,138.32
2/16/2012,141.9
2/17/2012,136.9
2/21/2012,130.64
2/22/2012,133.71
2/23/2012,132.85
2/24/2012,134.89
2/27/2012,134.54
2/28/2012,138.29
2/29/2012,136.7
3/1/2012,138.87
3/2/2012,141.43
3/5/2012,136.66
3/6/2012,133.27
3/7/2012,134.94
3/8/2012,137.19
3/9/2012,138.53
3/12/2012,137.8
3/13/2012,140.18
3/14/2012,136.51
3/15/2012,136.34
3/16/2012,136.09
3/19/2012,137.94
3/20/2012,137.35
3/21/2012,140.61
3/22/2012,143.6
3/23/2012,144.39
3/26/2012,150.8
3/27/2012,150.02
3/28/2012,148.09
3/29/2012,146.41
3/30/2012,145.77
4/2/2012,146.7
4/3/2012,147.06
4/4/2012,144.69
4/5/2012,148.25
4/9/2012,148.8
4/10/2012,144.42
4/11/2012,146.16
4/12/2012,151.32
4/13/2012,151.38
4/16/2012,147.66
4/17/2012,147.49
4/18/2012,147.92
4/19/2012,144.74
4/20/2012,144.91
4/23/2012,139.66
4/24/2012,135.83
4/25/2012,134.82
4/26/2012,133.21
4/27/2012,134.44
4/30/2012,132.7
5/1/2012,133.5
5/2/2012,134.1
5/3/2012,133.11
5/4/2012,130.02
5/7/2012,127.95
5/8/2012,127.31
5/9/2012,123.7
5/10/2012,123.66
5/11/2012,122.23
5/14/2012,121.83
5/15/2012,123.87
5/16/2012,122.26
5/17/2012,117.4
5/18/2012,115.37
5/21/2012,121.75
5/22/2012,119.34
5/23/2012,122.29
5/24/2012,118.26
5/25/2012,117.59
5/29/2012,121.59
5/30/2012,118.16
5/31/2012,117.77
6/1/2012,113.35
6/4/2012,115.68
6/5/2012,117.23
6/6/2012,119.12
6/7/2012,122.46
6/8/2012,121.31
6/11/2012,120.8
6/12/2012,117.94
6/13/2012,116.72
6/14/2012,117.64
6/15/2012,119.38
6/18/2012,121.37
6/19/2012,121.72
6/20/2012,117.38
6/21/2012,113.14
6/22/2012,114.61
6/25/2012,110.92
6/26/2012,110.59
6/27/2012,111.4
6/28/2012,108.62
6/29/2012,114.98
7/2/2012,112.69
7/3/2012,114.72
7/5/2012,117.21
7/6/2012,115.91
7/9/2012,113.17
7/10/2012,109.3
7/11/2012,108.92
7/12/2012,108.21
7/13/2012,109.65
7/16/2012,107.35
7/17/2012,104.98
7/18/2012,107.44
7/19/2012,110.65
7/20/2012,110.23
7/23/2012,107.1
7/24/2012,114.95
7/25/2012,114.41
7/26/2012,118.62
7/27/2012,123.7
7/30/2012,121.29
7/31/2012,120.52
8/1/2012,123.24
8/2/2012,122.03
8/3/2012,124.84
8/6/2012,128.94
8/7/2012,130.4
8/8/2012,131.27
8/9/2012,130.94
8/10/2012,131.06
8/13/2012,130.79
8/14/2012,130.46
8/15/2012,130.1
8/16/2012,133.66
8/17/2012,133.98
8/20/2012,130.91
8/21/2012,123.49
8/22/2012,122.8
8/23/2012,115.06
8/24/2012,115.72
8/27/2012,116.9
8/28/2012,120.62
8/29/2012,113.18
8/30/2012,112.01
8/31/2012,111.44
9/4/2012,114.51
9/5/2012,111.94
9/6/2012,112.74
9/7/2012,109.61
9/10/2012,109.25
9/11/2012,109.81
9/12/2012,107.09
9/13/2012,109.78
9/14/2012,115.62
9/17/2012,113.31
9/18/2012,111.96
9/19/2012,114.13
9/20/2012,111.31
9/21/2012,111.17
9/24/2012,113.18
9/25/2012,112.43
9/26/2012,112.12
9/27/2012,114.595
9/28/2012,116.82
10/1/2012,112.86
10/2/2012,112.34
10/3/2012,112.07
10/4/2012,113.2
10/5/2012,114.2
10/8/2012,114.29
10/9/2012,106.48
10/10/2012,108.13
10/11/2012,109.04
10/12/2012,111.22
10/15/2012,113.82
10/16/2012,113.41
10/17/2012,114.83
10/18/2012,113.11
10/19/2012,112.38
10/22/2012,113.71
10/23/2012,114.99
10/24/2012,113.99
10/25/2012,114.01
10/26/2012,113.84
