Date,Open,High,Low,Close,Adj Close,Volume
01/01/2015,164,164,161.5749969,161.9250031,146.8347931,142730
02/01/2015,162.8000031,165.8999939,162.0500031,164.9750061,149.6005402,658102
05/01/2015,163.5,165.5,161.6000061,161.9750061,146.880127,953386
06/01/2015,161.5500031,165.5,160.75,163.8249969,148.5576935,1854742
07/01/2015,163.8500061,164.875,158.5500031,161,145.9959869,1531050
08/01/2015,161,161.9250031,159.75,160.7749939,145.7919617,1607030
09/01/2015,161.25,164.8999939,157.8000031,159.4750061,144.6131287,28894954
12/01/2015,159.8500061,161,157.5500031,159.375,144.5224152,7008848
13/01/2015,159.6499939,168.875,159.375,167.125,151.5501709,15155768
14/01/2015,167.0500031,182.5,167.0249939,175.9250031,159.5300903,10559456
15/01/2015,179.5,179.9499969,174.8249969,177.6999969,161.139679,2655748
16/01/2015,178.2749939,180.3500061,174.0749969,175.125,158.8046417,1251134
19/01/2015,175.9499969,184.75,174.5749969,178.9250031,162.2504883,2461916
20/01/2015,180,180,173.0749969,175.5749969,159.212677,1228736
21/01/2015,176,181.4499969,174.5249939,176.3999939,159.9608154,3524786
22/01/2015,175.8000031,182.4499969,175.8000031,180.9750061,164.1094818,2148870
23/01/2015,182.6999969,183.3500061,176.75,179.3249969,162.613205,1930778
27/01/2015,180,180.8999939,175.0500031,176.75,160.2781677,6040466
28/01/2015,177.3000031,178.3500061,175.5,176.6000061,160.1422119,487904
29/01/2015,176.8500061,177.1499939,173.0249939,175.8999939,159.5074158,678956
30/01/2015,177.3249969,182.25,176,180.3999939,163.5880585,4729500
02/02/2015,180.8500061,186,179.125,180.25,163.4519958,5856806
03/02/2015,179.6000061,183.4499969,169.3249969,174.8500061,158.5552673,5544084
04/02/2015,176.25,179.4250031,176,177.9499969,161.3663635,1285060
05/02/2015,179.3999939,179.3999939,177.0249939,178.3500061,161.7290802,1281778
06/02/2015,178.8500061,178.8500061,174.8500061,176.3000031,161.2261505,1454680
09/02/2015,176.3999939,177.75,172.5,176.1999969,161.1346436,1596838
10/02/2015,174.2250061,177.5249939,172.8000031,176,160.9517822,976000
11/02/2015,176.5,177.5,175.6000061,177.1499939,162.0034485,456326
12/02/2015,177.9750061,177.9750061,174.3249969,175.7250061,160.7002869,1816240
13/02/2015,176.5,177.5500031,176,177.4250031,162.2549133,1067198
16/02/2015,176.5,177.9499969,176,176.625,161.5233307,459846
18/02/2015,177.4250031,187.1750031,176.625,179.0500031,163.7409668,1668672
19/02/2015,179.9499969,180.5,176,176.6499939,161.5461731,416066
20/02/2015,176.9750061,179,176.3000031,176.8999939,161.7747955,363814
23/02/2015,177.3500061,184,176.75,178.5749969,163.3065796,1177970
24/02/2015,178.75,178.8000031,176.0500031,177.9499969,162.7350464,1343294
25/02/2015,178,178.3249969,177.0249939,177.25,162.0948944,624030
26/02/2015,176.375,177.75,176.375,177.3249969,162.1634827,640818
27/02/2015,177.125,180.4499969,176.9250031,178.875,163.5809631,1525022
02/03/2015,178.5,182.1999969,177.1999969,179.5500031,164.1982269,2170958
03/03/2015,181.9750061,187.5,179,184.3999939,168.6335449,4722644
04/03/2015,186.3999939,201.8500061,185,192,175.5837708,5681106
05/03/2015,191.25,204.1999969,191.25,199.1750031,182.1452789,3315512
09/03/2015,199.3999939,199.3999939,189.7250061,192,175.5837708,1351160
10/03/2015,192.5500031,193.0500031,187.5500031,189.375,173.1832123,1236428
11/03/2015,190,192.8999939,186,188.4250031,172.3144073,1515948
