Date,Open,High,Low,Close,Adj Close,Volume
01/01/2015,3320.25,3360,3320.25,3340.75,3135.805908,299232
02/01/2015,3360,3383,3350.5,3359.600098,3153.499756,233924
05/01/2015,3382,3469.350098,3376.050049,3447.800049,3236.289063,536747
06/01/2015,3439,3439,3382.5,3395.25,3186.962646,422743
07/01/2015,3400,3458.949951,3382.050049,3437.75,3226.855225,369241
08/01/2015,3465,3509.550049,3444,3475.5,3262.289795,422022
09/01/2015,3500,3507.699951,3429.949951,3468.199951,3255.4375,194054
12/01/2015,3470,3483.649902,3445.149902,3462.899902,3250.462402,152803
13/01/2015,3483.800049,3515,3462.100098,3468.25,3255.484375,237771
14/01/2015,3471.850098,3531,3461.300049,3516,3300.305176,429069
15/01/2015,3550.350098,3638.649902,3540,3625.800049,3403.369385,670686
16/01/2015,3615.25,3625,3592.050049,3616.600098,3394.733643,379075
19/01/2015,3627.699951,3642.5,3615.199951,3626.25,3403.791504,192537
20/01/2015,3618,3636,3584.5,3605.550049,3384.361572,333315
21/01/2015,3623,3690,3592,3634.699951,3411.723145,402419
22/01/2015,3648,3648,3592.100098,3597.25,3376.570557,318883
23/01/2015,3634,3639.75,3575,3606.699951,3385.440674,337571
27/01/2015,3644.949951,3704.699951,3585.149902,3687.899902,3461.659668,1278436
28/01/2015,3692,3758.5,3692,3725.800049,3497.234619,672705
29/01/2015,3745,3745,3677,3688.800049,3462.504395,603103
30/01/2015,3700,3741,3626.550049,3647.350098,3423.597412,284786
02/02/2015,3647.350098,3725,3620,3669.449951,3444.341309,319679
03/02/2015,3708,3708,3600,3607.850098,3386.520264,220676
04/02/2015,3620,3634,3550.5,3557.550049,3339.306152,203545
05/02/2015,3579,3597,3508,3522.699951,3306.593994,379633
06/02/2015,3529.75,3533.5,3490,3502.600098,3287.727295,198214
09/02/2015,3490,3497.199951,3400,3411.300049,3202.028564,286868
10/02/2015,3393,3478,3360,3393.850098,3185.648438,547537
11/02/2015,3406,3470.800049,3406,3454.75,3242.8125,341769
12/02/2015,3468,3559.75,3468,3551.899902,3334.00293,436882
13/02/2015,3565,3627,3531.300049,3616.949951,3395.062256,321186
16/02/2015,3620,3650,3561.5,3572.100098,3352.963867,260901
18/02/2015,3575,3584,3547.050049,3564.949951,3346.252197,161803
