Date,Open,High,Low,Close,Adj Close,Volume
2011-09-01,24.570000,24.870001,22.700001,22.700001,22.700001,15100
2011-10-01,22.590000,24.030001,22.400000,23.370001,23.370001,16000
2011-11-01,22.990000,23.950001,20.430000,21.510000,21.510000,50300
2011-12-01,21.080000,22.410000,20.150000,22.400000,22.400000,32600
2012-01-01,22.559999,22.950001,20.450001,22.440001,22.440001,55300
2012-02-01,22.459999,22.500000,20.559999,21.620001,21.620001,46300
2012-03-01,21.690001,21.879999,20.000000,21.090000,21.090000,68700
2012-04-01,21.280001,21.280001,19.490000,20.430000,20.430000,44300
2012-05-01,20.430000,21.990000,18.540001,20.049999,20.049999,66900
2012-06-01,19.610001,22.200001,18.010000,22.110001,22.110001,189800
2012-07-01,22.370001,25.250000,22.000000,24.420000,24.420000,260700
2012-08-01,24.059999,25.940001,23.500000,24.590000,24.590000,211500
2012-09-01,24.500000,25.379999,23.420000,24.480000,24.480000,206100
2012-10-01,24.389999,25.879999,23.240000,23.980000,23.980000,147000
2012-11-01,24.080000,25.090000,23.000000,23.559999,23.559999,208300
2012-12-01,23.830000,23.830000,20.660000,21.320000,21.320000,204000
2013-01-01,22.389999,22.500000,20.150000,21.190001,21.190001,377100
2013-02-01,21.209999,21.309999,18.830000,19.120001,19.120001,456500
2013-03-01,19.000000,19.709999,18.260000,18.400000,18.400000,334300
2013-04-01,18.490000,19.500000,17.750000,19.469999,19.469999,263300
2013-05-01,19.500000,19.500000,17.750000,18.850000,18.850000,381400
2013-06-01,19.000000,19.100000,17.040001,17.049999,17.049999,441300
2013-07-01,17.250000,18.250000,16.709999,17.100000,17.100000,144300
2013-08-01,17.040001,17.150000,16.209999,16.570000,16.570000,192500
2013-09-01,16.410000,17.000000,16.020000,16.639999,16.639999,181700
2013-10-01,16.760000,17.690001,16.299999,16.650000,16.650000,284700
2013-11-01,16.500000,17.049999,15.880000,16.070000,16.070000,139600
2013-12-01,15.950000,16.299999,14.680000,14.750000,14.750000,131900
2014-01-01,14.830000,14.990000,13.310000,13.500000,13.500000,309000
2014-02-01,13.540000,15.200000,13.500000,14.490000,14.490000,594300
2014-03-01,14.870000,17.129999,14.800000,16.530001,16.530001,1755800
2014-04-01,16.490000,17.090000,15.710000,17.080000,17.080000,1063200
2014-05-01,17.010000,17.549999,15.040000,15.090000,15.090000,558000
2014-06-01,15.010000,15.110000,13.660000,13.770000,13.770000,1002200
2014-07-01,13.950000,13.950000,12.600000,12.710000,12.710000,1851400
2014-08-01,12.810000,13.490000,12.500000,12.860000,12.860000,2353200
2014-09-01,12.870000,12.910000,10.640000,10.830000,10.830000,1824600
2014-10-01,10.790000,12.120000,10.620000,11.890000,11.890000,1961500
2014-11-01,11.840000,12.550000,11.380000,12.550000,12.550000,828600
2014-12-01,12.500000,14.070000,12.350000,12.740000,12.740000,1583500
2015-01-01,12.740000,12.940000,10.810000,10.950000,10.950000,1132400
2015-02-01,10.930000,11.630000,10.530000,10.970000,10.970000,1038800
2015-03-01,11.030000,11.490000,10.310000,10.930000,10.930000,1180100
2015-04-01,10.930000,11.500000,9.920000,10.150000,10.150000,1080700
2015-05-01,10.150000,11.060000,9.810000,9.980000,9.980000,2264900
2015-06-01,9.970000,12.270000,9.960000,12.260000,12.260000,2228400
2015-07-01,11.930000,11.960000,9.950000,9.970000,9.970000,2701200
2015-08-01,9.900000,10.550000,9.470000,9.630000,9.630000,1331500
2015-09-01,9.660000,10.150000,9.240000,10.080000,10.080000,921300
2015-10-01,10.180000,10.400000,9.540000,10.130000,10.130000,1160100
2015-11-01,10.070000,10.240000,9.290000,9.320000,9.320000,601200
2015-12-01,9.300000,9.650000,9.090000,9.140000,9.140000,715600
2016-01-01,9.140000,9.410000,8.880000,9.230000,9.230000,687900
2016-02-01,9.150000,9.280000,8.600000,8.670000,8.670000,720900
2016-03-01,8.650000,9.150000,8.490000,9.000000,9.000000,1278900
2016-04-01,8.930000,9.590000,8.520000,9.190000,9.190000,1246700
2016-05-01,9.190000,9.220000,8.560000,8.730000,8.730000,1723500
2016-06-01,8.720000,9.670000,8.100000,8.250000,8.250000,3670500
