Date,Value
1995-01-02,12022.09
1995-01-03,11948.83
1995-01-04,11781.62
1995-01-05,11771.27
1995-01-06,11769.08
1995-01-09,11682.18
1995-01-10,11734.57
1995-01-11,11780.23
1995-01-12,11934.87
1995-01-13,11873.83
1995-01-16,11843.28
1995-01-17,11915.27
1995-01-18,12001.19
1995-01-19,11980.2
1995-01-20,12041.37
1995-01-23,11995.27
1995-01-24,11963.28
1995-01-25,11972.76
1995-01-26,11963.9
1995-01-27,11872.79
1995-01-30,11794.79
1995-01-31,11762.48
1995-02-01,11802.96
1995-02-02,11792.92
1995-02-03,11786.95
1995-02-06,11747.12
1995-02-07,11748.06
1995-02-08,11749.32
1995-02-09,11814.42
1995-02-10,11809.09
1995-02-13,11748.06
1995-02-14,11794.66
1995-02-15,11814.42
1995-02-16,11816.3
1995-02-17,11864.75
1995-02-20,11895.5
1995-02-21,11882.97
1995-02-22,11896.94
1995-02-23,11908.25
1995-02-24,11857.57
1995-02-27,11791.95
1995-02-28,11828.84
1995-03-01,11804.49
1995-03-02,11799.94
1995-03-03,11951.27
1995-03-06,12051.21
1995-03-07,12176.25
1995-03-08,12082.1
1995-03-09,12076.43
1995-03-10,12111.35
1995-03-13,12266.14
1995-03-14,12256.3
1995-03-15,12129.81
1995-03-16,12086.55
1995-03-17,12035.3
1995-03-20,12033.56
1995-03-21,12061.35
1995-03-22,12059.98
1995-03-23,12108.39
1995-03-24,12076.26
1995-03-27,12080.38
1995-03-28,12038.81
1995-03-29,12056.84
1995-03-30,12061.75
1995-03-31,12314.67
1995-04-03,12339.79
1995-04-04,12297.42
1995-04-05,12322.12
1995-04-06,12360.62
1995-04-07,12345.3
1995-04-10,12222.06
1995-04-11,12241.12
1995-04-12,12239.76
1995-04-13,12203.36
1995-04-14,12203.36
1995-04-17,12222.82
1995-04-18,12331.94
1995-04-19,12418.28
1995-04-20,12363.38
1995-04-21,12264.79
1995-04-24,12261.91
1995-04-25,12228.41
1995-04-26,12201.73
1995-04-27,12123.65
1995-04-28,12250.82
1995-05-01,12169.69
1995-05-02,12209.01
1995-05-03,12215.67
1995-05-04,12256.94
1995-05-05,12283.26
1995-05-08,12273.49
1995-05-09,12179.93
1995-05-10,12042.05
1995-05-11,12037.02
1995-05-12,12087.96
1995-05-15,12065.1
1995-05-16,12068.23
1995-05-17,12034.54
1995-05-18,12037.11
1995-05-19,12029.45
1995-05-22,11981.99
1995-05-23,11987.92
1995-05-24,12025.5
1995-05-25,12115.46
1995-05-26,12101.62
1995-05-29,12099.68
1995-05-30,12120.26
1995-05-31,12076.62
1995-06-01,12045.73
1995-06-02,12069.99
1995-06-05,12032.13
1995-06-06,12061.95
1995-06-07,12119.56
1995-06-08,12093.83
1995-06-09,12138.74
1995-06-12,12172.15
1995-06-13,12149.86
1995-06-14,12174.37
1995-06-15,12197.34
1995-06-16,12284.85
1995-06-19,12260.52
1995-06-20,12267.59
1995-06-21,12260.16
1995-06-22,12224.09
1995-06-23,12209.0
1995-06-26,12203.7
1995-06-27,12215.47
1995-06-28,12189.5
1995-06-29,12147.65
1995-06-30,12153.36
1995-07-03,12067.52
1995-07-04,12069.03
1995-07-05,12053.35
1995-07-06,12050.21
1995-07-07,12105.6
1995-07-10,12102.34
1995-07-11,12074.22
1995-07-12,12129.8
1995-07-13,12209.0
1995-07-14,12183.13
1995-07-17,12183.52
1995-07-18,12223.7
1995-07-19,12248.21
1995-07-20,12135.28
1995-07-21,12107.05
1995-07-24,12131.14
1995-07-25,12132.52
1995-07-26,12114.03
1995-07-27,12104.03
1995-07-28,12022.37
1995-07-31,12042.93
1995-08-01,12027.22
1995-08-02,12019.03
1995-08-03,12062.2
1995-08-04,12064.7
1995-08-07,12072.25
1995-08-08,12091.36
1995-08-09,12091.29
1995-08-10,12068.76
1995-08-11,12063.41
1995-08-14,12071.61
1995-08-15,12156.5
1995-08-16,12075.01
1995-08-17,12139.68
1995-08-18,12144.42
1995-08-21,12160.36
1995-08-22,12145.58
1995-08-23,12117.86
1995-08-24,12211.2
1995-08-25,12146.18
1995-08-28,12194.06
1995-08-29,12188.97
1995-08-30,12140.28
1995-08-31,12179.75
1995-09-01,12173.66
1995-09-04,12131.41
1995-09-05,12281.17
1995-09-06,12262.31
1995-09-07,12280.77
1995-09-08,12330.48
1995-09-11,12399.14
1995-09-12,12525.44
1995-09-13,12653.58
1995-09-14,13112.65
1995-09-15,12993.75
1995-09-18,13009.17
1995-09-19,13002.15
1995-09-20,13001.86
1995-09-21,12945.5
1995-09-22,12960.38
1995-09-25,13003.92
1995-09-26,13008.89
