Date,Open,High,Low,Close,Volume,Adj Close
2016-03-09,9.87,10.21,9.85,10.15,43812800,10.15
2016-03-08,10.04,10.04,9.65,9.65,45296800,9.65
2016-03-07,9.68,10.15,9.67,10.11,66157300,10.11
2016-03-04,9.29,9.65,9.18,9.65,48789900,9.65
2016-03-03,9.13,9.41,9.11,9.25,34161800,9.25
2016-03-02,9.01,9.36,8.94,9.30,49321000,9.30
2016-03-01,8.98,9.26,8.89,9.15,46780600,9.15
2016-02-29,8.86,9.04,8.78,9.00,50006200,9.00
2016-02-26,9.14,9.16,8.70,8.78,58741300,8.78
2016-02-25,8.48,8.92,8.28,8.80,39101900,8.80
2016-02-24,8.19,8.63,8.14,8.59,47665700,8.59
2016-02-23,8.76,8.76,8.43,8.48,53703000,8.48
2016-02-22,8.90,9.01,8.84,8.91,52330500,8.91
2016-02-19,8.55,8.60,8.35,8.55,42540300,8.55
2016-02-18,9.03,9.07,8.65,8.66,53929500,8.66
2016-02-17,8.43,8.90,8.39,8.78,58707500,8.78
2016-02-16,8.49,8.52,8.18,8.31,47999300,8.31
2016-02-12,8.16,8.52,8.01,8.33,65780800,8.33
2016-02-11,7.82,8.03,7.67,7.99,95449400,7.99
2016-02-10,7.97,8.40,7.89,7.96,63698000,7.96
2016-02-09,8.51,8.67,7.97,8.18,56309100,8.18
2016-02-08,8.77,8.82,8.52,8.64,37682000,8.64
2016-02-05,9.04,9.23,8.80,8.91,33928900,8.91
2016-02-04,9.55,9.65,9.06,9.12,44030700,9.12
2016-02-03,8.84,9.35,8.54,9.34,71110800,9.34
2016-02-02,8.72,8.81,8.56,8.57,42810200,8.57
2016-02-01,9.35,9.36,8.99,9.02,46953200,9.02
2016-01-29,9.77,9.88,9.38,9.65,46917300,9.65
2016-01-28,9.80,9.86,9.41,9.70,64009300,9.70
2016-01-27,8.92,9.43,8.79,9.18,70934000,9.18
2016-01-26,8.81,9.31,8.74,8.97,50394300,8.97
2016-01-25,8.94,9.12,8.54,8.54,53024800,8.54
2016-01-22,9.09,9.29,8.97,9.27,62054700,9.27
2016-01-21,8.10,8.69,8.06,8.56,86356300,8.56
2016-01-20,8.34,8.37,7.92,8.24,78997500,8.24
2016-01-19,8.75,8.77,8.45,8.49,55796600,8.49
2016-01-15,8.79,8.90,8.64,8.79,77663300,8.79
2016-01-14,9.14,9.34,9.04,9.23,47403800,9.23
2016-01-13,9.30,9.39,8.93,9.09,98446100,9.09
2016-01-12,9.43,9.48,8.90,9.17,100348300,9.17
2016-01-11,9.72,9.76,9.20,9.25,82008800,9.25
2016-01-08,9.95,10.02,9.71,9.80,44338100,9.80
2016-01-07,9.89,10.20,9.85,9.90,50109300,9.90
2016-01-06,10.30,10.47,10.06,10.11,71152700,10.11
2016-01-05,10.80,10.87,10.64,10.66,31707400,10.66
2016-01-04,11.26,11.42,10.82,10.98,36115200,10.98
2015-12-31,10.84,11.24,10.82,11.00,30008900,11.00
2015-12-30,10.96,11.00,10.84,10.93,24682700,10.93
2015-12-29,11.16,11.29,11.15,11.26,23212300,11.26
2015-12-28,11.06,11.07,10.91,10.93,20108800,10.93
2015-12-24,11.34,11.35,11.23,11.30,19037200,11.30
2015-12-23,11.06,11.29,11.00,11.26,37093500,11.26
2015-12-22,10.68,10.88,10.66,10.77,21685200,10.77
2015-12-21,10.60,10.75,10.52,10.66,25242600,10.66
2015-12-18,10.81,10.99,10.62,10.66,35189600,10.66
2015-12-17,10.95,10.95,10.71,10.74,29433200,10.74
2015-12-16,11.23,11.34,10.88,10.99,35309400,10.99
2015-12-15,11.33,11.65,11.25,11.40,35004000,11.40
2015-12-14,10.97,11.30,10.79,11.16,38607500,11.16
2015-12-11,11.30,11.33,11.00,11.07,43985800,11.07
2015-12-10,11.44,11.57,11.33,11.37,33543000,11.37
2015-12-09,11.77,12.06,11.43,11.56,38363300,11.56
2015-12-08,11.52,11.97,11.45,11.68,39298000,11.68
2015-12-07,12.02,12.08,11.65,11.72,49862700,11.72
2015-12-04,12.45,12.63,12.33,12.46,39188600,12.46
2015-12-03,12.59,12.97,12.45,12.77,34999200,12.77
2015-12-02,12.77,13.03,12.38,12.48,52406700,12.48
2015-12-01,12.92,13.11,12.83,12.95,19268900,12.95
2015-11-30,13.18,13.23,12.90,12.93,20680200,12.93
2015-11-27,13.09,13.11,13.00,13.03,10614600,13.03
2015-11-25,13.11,13.42,12.96,13.39,27117000,13.39
2015-11-24,13.35,13.50,13.20,13.32,25560200,13.32
2015-11-23,12.84,13.24,12.82,13.02,29045200,13.02
2015-11-20,12.94,13.28,12.86,12.93,37776200,12.93
2015-11-19,12.92,13.03,12.86,12.96,22457200,12.96
2015-11-18,13.14,13.20,12.83,13.05,24754800,13.05
2015-11-17,13.17,13.22,12.94,13.01,22978800,13.01
2015-11-16,13.00,13.43,12.81,13.39,37787400,13.39
2015-11-13,13.20,13.23,12.91,13.06,34583500,13.06
