,close,high,low,open,volume,Adj Close,date,
978480000,128.813,132.15625,127.5625,132,8737500,89.92151642,1/2/2001,
978566400,135,136,127.65625,128.3125,19431600,94.24088287,1/3/2001,
978652800,133.547,135.46875,133,134.9375,9219000,93.22647858,1/4/2001,
978739200,129.188,133.625,129.1875,133.46875,12911400,90.18332672,1/5/2001,
978998400,130.188,130.1875,127.6875,129.875,6625300,90.88139343,1/8/2001,
979084800,129.844,131.5,129.421875,131.046875,5702400,90.64141083,1/9/2001,
979171200,132.125,132.125,128.8125,129,8746100,92.23391724,1/10/2001,
979257600,132.25,133.484375,131.09375,131.09375,7245100,92.32116699,1/11/2001,
979344000,132,133.71875,131.28125,132.6875,7244000,92.14663696,1/12/2001,
979689600,132.844,133.1875,131.515625,132,8542200,92.73565674,1/16/2001,
979776000,133.453,135.046875,132.640625,134.84375,7851400,93.16107178,1/17/2001,
979862400,134.781,135.703125,132.9375,133.4375,8107000,94.08821106,1/18/2001,
979948800,134.016,136.1875,133.875,136.1875,7782500,93.55368042,1/19/2001,
980208000,134.906,135.78125,133.5625,134.25,7050900,94.17543793,1/22/2001,
980294400,135.969,136.65625,134.15625,134.46875,8463100,94.91713715,1/23/2001,
980380800,136.375,137.3125,135.84375,136.25,6199900,95.200737,1/24/2001,
980467200,136.031,137.25,135.65625,136.25,10818300,94.96078491,1/25/2001,
980553600,135.875,136.125,134.453125,135.15625,7136800,94.85173035,1/26/2001,
980812800,136.6,136.8999939,135.3699951,135.5,6705900,95.35783386,1/29/2001,
980899200,137.8,137.9199982,135.7899933,136.3000031,7069100,96.19552612,1/30/2001,
980985600,137.02,138.6999969,136.6000061,137.3999939,9706900,95.65103149,1/31/2001,
981072000,137.93,137.9499969,136.25,137.1000061,8239100,96.28625488,2/1/2001,
981158400,134.8,137.9900055,134.75,137.3999939,8276600,94.1013031,2/2/2001,
981417600,135.79,135.9400024,134.75,134.8000031,4352900,94.79238129,2/5/2001,
981504000,135.39,136.6999969,135.2200012,135.3000031,7106700,94.51313019,2/6/2001,
981590400,134.69,135.3999939,133.6799927,134.7200012,5748700,94.0245285,2/7/2001,
981676800,133.12,135.3999939,133.1000061,134.8000031,5943300,92.92848206,2/8/2001,
981763200,131.84,133.3500061,131.2599945,133.3500061,9913000,92.034935,2/9/2001,
982022400,133.35,133.5,131.6999969,131.6999969,5804400,93.08905792,2/12/2001,
982108800,132.26,134.1699982,132,133.6999969,6587600,92.32817078,2/13/2001,
982195200,132.06,132.6499939,130.6600037,132.6499939,8400100,92.18856049,2/14/2001,
982281600,133.34,133.5200043,131.9900055,132.8399963,5929800,93.08205414,2/15/2001,
982368000,130.4,131.2899933,129.3000031,131,6434900,91.02971649,2/16/2001,
982713600,128.39,131.1399994,128.1000061,131.0399933,5760000,89.62659454,2/20/2001,
982800000,125.62,128.8399963,125.5,127.9000015,10910800,87.69287109,2/21/2001,
982886400,125.81,126.5400009,123.0199966,126.3499985,21281600,87.82552338,2/22/2001,
982972800,124.96,125.5400009,121.8000031,125.0800018,20173000,87.23215485,2/23/2001,
983232000,127.62,127.6200027,124.5,125.8000031,11503700,89.08905029,2/26/2001,
983318400,126.44,127.8399963,125.5100021,126.8000031,11415000,88.26532745,2/27/2001,
983404800,123.95,126.8399963,123.2699966,126.75,14825800,86.52706909,2/28/2001,
983491200,124.6,124.5999985,121.75,124.0500031,14672000,86.98085785,3/1/2001,
983577600,123.61,125.6500015,122.3000031,122.5,12564300,86.28977966,3/2/2001,
983836800,124.74,124.7799988,123.8099976,124.1500015,5293200,87.07861328,3/5/2001,
983923200,126.08,127.75,125.4899979,126.3499985,6917000,88.01403809,3/6/2001,
984009600,126.98,127.0400009,125.7600021,126.9000015,6371700,88.64229584,3/7/2001,
984096000,127.12,127.2399979,126.1399994,126.5999985,6055000,88.74003601,3/8/2001,
984182400,123.36,126.0999985,123.1100006,126.0999985,10020300,86.11521149,3/9/2001,
984441600,118.08,122.5,117.75,122.3399963,13972900,82.42935181,3/12/2001,
984528000,120.02,120.4400024,117.5299988,119.4000015,12888000,83.78369141,3/13/2001,
984614400,117.65,119.2900009,115.75,117.0500031,19883400,82.12919617,3/14/2001,
984700800,117.68,118.8600006,117.3600006,118.4499969,10370300,82.15013885,3/15/2001,
984787200,115.01,117.4000015,114.8099976,117.1299973,58514600,80.50241852,3/16/2001,
985046400,117.35,117.6900024,114.8199997,115.7600021,10067800,82.14031982,3/19/2001,
