,close,high,low,open,volume
1603978200,327.41,327.46,326.61,326.91,8818
1603978260,327.3,327.54,327.21,327.43,3032
1603978320,327.26,327.49,326.81,327.29,3651
1603978380,327.62,327.73,327.17,327.25,3285
1603978440,327.09,327.61,327.08,327.61,3353
1603978500,326.54,327.33,326.51,327.07,2828
1603978560,326.52,326.86,326.31,326.54,5480
1603978620,326.46,326.83,326.39,326.52,3229
1603978680,326.28,326.69,326.24,326.46,2920
1603978740,325.86,326.3,325.71,326.28,3521
1603978800,325.38,325.87,325.14,325.87,5724
1603978860,325.34,325.55,325.25,325.38,2172
1603978920,325.18,325.6,325.09,325.33,3068
1603978980,325.49,325.55,325.11,325.19,2207
1603979040,325.63,325.69,325.45,325.48,3293
1603979100,325.7,325.95,325.32,325.65,4694
1603979160,326.65,326.87,325.67,325.7,5011
1603979220,326.91,326.98,326.44,326.64,4068
1603979280,327.09,327.09,326.64,326.89,2662
1603979340,326.58,327.09,326.37,327.07,3392
1603979400,326.8,326.93,326.33,326.62,1734
1603979460,327.19,327.2,326.74,326.78,2137
1603979520,327.24,327.4,327.08,327.2,2430
1603979580,327.23,327.27,326.94,327.23,1882
1603979640,327.65,327.67,327.2,327.23,2634
1603979700,328.03,328.03,327.45,327.63,3447
1603979760,328.34,328.37,327.93,328.04,3961
1603979820,328.12,328.35,327.91,328.35,3424
1603979880,328.04,328.2,327.89,328.14,2452
1603979940,327.83,329.49,327.73,328.05,2424
1603980000,327.78,327.9,327.52,327.87,2650
1603980060,327.54,328.09,327.52,327.82,2033
1603980120,328.02,328.13,327.4,327.54,2304
1603980180,328.64,328.68,328.02,328.02,3912
1603980240,328.6,328.79,328.57,328.66,2089
1603980300,328.19,328.6,328.06,328.6,2911
1603980360,328.14,328.35,327.91,328.21,2477
1603980420,328.2,328.37,328.09,328.1,1585
1603980480,328.2,328.29,328.04,328.22,1302
1603980540,328.08,328.34,327.85,328.21,2256
1603980600,328.17,328.53,328.05,328.05,2439
1603980660,327.87,328.17,327.84,328.15,1606
1603980720,327.52,328.03,327.5,327.89,1508
1603980780,327.33,327.76,327.32,327.52,2348
1603980840,327.36,327.42,327.11,327.32,2483
1603980900,327.3,327.74,327.28,327.38,1719
1603980960,327.64,327.74,327.3,327.3,1057
1603981020,328.12,328.32,327.58,327.65,2877
1603981080,328.37,328.38,328.1,328.14,1345
1603981140,328.44,328.51,328.32,328.38,1625
1603981200,328.36,328.61,328.27,328.45,2753
1603981260,328.45,328.54,328.34,328.38,1625
1603981320,328.97,329.04,328.43,328.44,3572
1603981380,328.89,329.03,328.75,328.98,2487
1603981440,328.72,329.01,328.69,328.88,2558
1603981500,328.81,328.88,328.64,328.71,1930
1603981560,328.63,328.85,328.42,328.81,2379
1603981620,328.73,328.78,328.52,328.63,1003
1603981680,328.93,328.95,328.64,328.75,1307
1603981740,329.12,329.16,328.81,328.93,1156
1603981800,329.33,329.42,329.07,329.12,2866
1603981860,328.92,329.33,328.9,329.33,1831
1603981920,329.06,329.23,328.9,328.93,2245
1603981980,329.2,329.25,329.04,329.06,1509
1603982040,329.07,329.17,328.91,329.17,1070
1603982100,328.9,329.16,328.88,329.05,1052
1603982160,328.87,328.96,328.68,328.89,1635
1603982220,329.0,329.23,328.87,328.87,2785
1603982280,329.33,329.38,328.95,329.02,1776
1603982340,329.65,329.66,329.29,329.35,2909
1603982400,329.64,329.79,329.54,329.64,2447
1603982460,329.47,329.67,329.4,329.62,1496
1603982520,329.46,329.55,329.31,329.47,1435
1603982580,329.59,329.64,329.31,329.44,1056
1603982640,329.55,329.68,329.47,329.58,1133
1603982700,329.55,329.82,329.51,329.54,1852
1603982760,329.46,329.65,329.41,329.56,2172
1603982820,329.35,329.47,329.21,329.46,975
1603982880,329.34,329.49,329.29,329.36,1049
1603982940,329.42,329.44,329.22,329.34,586
1603983000,329.34,329.56,329.3,329.44,725
1603983060,329.09,329.34,329.05,329.34,1643
1603983120,329.27,329.33,329.09,329.09,984
1603983180,329.17,329.3,329.07,329.24,1008
1603983240,329.19,329.32,329.04,329.18,1117
1603983300,328.99,329.36,328.98,329.19,1519
1603983360,329.35,329.36,328.9,328.99,1451
1603983420,329.39,329.58,329.29,329.36,974
1603983480,328.98,329.41,328.9,329.39,2026
1603983540,329.22,329.28,328.94,328.97,781
1603983600,328.91,329.32,328.86,329.21,2097
1603983660,328.77,328.97,328.61,328.92,2262
1603983720,328.91,329.06,328.73,328.75,1798
1603983780,328.94,329.05,328.78,328.91,707
1603983840,328.68,329.04,328.5,328.93,1126
1603983900,328.56,328.79,328.47,328.69,759
1603983960,328.57,328.62,328.47,328.56,933
1603984020,328.65,328.67,328.5,328.57,504
1603984080,328.83,328.84,328.57,328.64,719
1603984140,328.72,329.0,328.67,328.84,1132
1603984200,328.74,328.74,328.53,328.69,739
1603984260,328.9,328.92,328.62,328.75,598
1603984320,329.12,329.13,328.82,328.91,1405
1603984380,329.04,329.12,328.86,329.11,982
1603984440,329.32,329.32,329.01,329.05,1941
1603984500,329.45,329.54,329.09,329.3,2350
1603984560,329.26,329.45,329.2,329.45,774
1603984620,329.55,329.57,329.23,329.27,939
1603984680,329.64,329.64,329.48,329.56,760
1603984740,329.57,329.69,329.54,329.65,751
1603984800,329.52,329.58,329.35,329.58,936
1603984860,329.55,329.65,329.46,329.54,1782
1603984920,329.54,329.57,329.47,329.54,765
1603984980,329.48,329.6,329.46,329.54,1010
1603985040,329.61,329.66,329.46,329.47,609
1603985100,329.54,329.62,329.47,329.6,808
1603985160,329.73,329.73,329.53,329.54,749
1603985220,329.85,329.87,329.64,329.72,1268
1603985280,329.45,329.85,329.45,329.85,1182
1603985340,329.06,329.54,329.02,329.45,1974
1603985400,328.76,329.28,328.74,329.06,3164
1603985460,328.89,328.96,328.7,328.76,1303
1603985520,328.84,328.96,328.77,328.89,657
1603985580,328.79,328.84,328.7,328.83,1077
1603985640,328.9,328.98,328.74,328.79,1137
1603985700,328.72,328.95,328.65,328.9,626
1603985760,328.78,328.91,328.65,328.7,833
1603985820,328.96,328.97,328.73,328.78,1253
1603985880,329.05,329.07,328.92,328.95,740
1603985940,329.23,329.28,328.92,329.03,1016
1603986000,329.13,329.32,329.13,329.23,972
1603986060,328.95,329.15,328.85,329.12,1186
1603986120,328.65,328.94,328.63,328.94,1474
1603986180,328.39,328.68,328.3,328.63,2001
1603986240,328.38,328.46,328.34,328.38,1040
1603986300,328.36,328.42,328.18,328.38,2000
1603986360,328.63,328.63,328.36,328.36,767
1603986420,328.59,328.66,328.53,328.6,953
1603986480,328.68,328.71,328.58,328.6,631
1603986540,328.56,328.74,328.48,328.68,646
1603986600,328.62,328.67,328.4,328.56,796
1603986660,328.57,328.69,328.5,328.62,458
1603986720,328.61,328.78,328.57,328.57,834
1603986780,328.55,328.61,328.36,328.61,958
1603986840,328.63,328.69,328.48,328.53,445
1603986900,328.78,328.84,328.59,328.63,1002
1603986960,329.08,329.12,328.77,328.78,1475
1603987020,328.2,329.16,328.06,329.09,5329
1603987080,328.21,328.21,327.82,328.2,2929
1603987140,328.43,328.46,328.12,328.2,1332
1603987200,328.48,328.75,328.44,328.44,1012
1603987260,328.32,328.48,328.21,328.43,769
1603987320,328.31,328.39,328.15,328.31,1054
1603987380,328.29,328.34,328.14,328.3,410
1603987440,328.02,328.3,327.99,328.3,930
1603987500,328.23,328.27,327.98,328.03,823
1603987560,328.22,328.3,328.14,328.23,439
1603987620,328.5,328.51,328.22,328.23,732
1603987680,328.54,328.54,328.37,328.5,673
1603987740,328.37,328.52,328.34,328.52,340
1603987800,328.34,328.49,328.23,328.35,680
1603987860,328.29,328.39,328.2,328.34,719
1603987920,328.31,328.42,328.2,328.28,472
1603987980,328.63,328.72,328.33,328.33,789
1603988040,328.82,328.84,328.52,328.59,534
1603988100,328.92,329.0,328.69,328.81,741
1603988160,328.96,329.02,328.88,328.89,485
1603988220,328.82,328.96,328.76,328.95,835
1603988280,328.9,328.93,328.81,328.82,283
1603988340,329.01,329.06,328.86,328.89,319
1603988400,328.92,329.08,328.83,329.01,648
1603988460,328.9,328.93,328.79,328.92,448
1603988520,328.89,328.94,328.87,328.89,444
1603988580,328.88,328.98,328.86,328.89,201
1603988640,328.82,328.91,328.7,328.88,456
1603988700,329.1,329.14,328.8,328.81,766
1603988760,329.01,329.12,328.97,329.08,633
1603988820,329.11,329.14,328.88,329.03,473
1603988880,329.05,329.21,329.02,329.12,720
1603988940,328.95,329.06,328.93,329.05,699
1603989000,328.95,329.07,328.88,328.94,603
1603989060,328.9,328.99,328.81,328.96,305
1603989120,329.04,329.17,328.88,328.88,1562
1603989180,329.11,329.13,328.99,329.03,766
1603989240,329.33,329.35,329.0,329.11,1443
1603989300,329.35,329.37,329.2,329.32,1433
1603989360,329.5,329.51,329.35,329.35,996
1603989420,329.57,329.66,329.47,329.49,1210
1603989480,329.49,329.57,329.48,329.56,523
1603989540,329.42,329.6,329.42,329.49,744
1603989600,329.51,329.61,329.42,329.42,602
1603989660,329.46,329.55,329.43,329.5,819
1603989720,329.54,329.58,329.41,329.45,323
1603989780,329.57,329.58,329.49,329.54,412
1603989840,329.51,329.61,329.47,329.57,477
1603989900,329.46,329.54,329.4,329.47,838
1603989960,329.49,329.56,329.44,329.46,739
1603990020,329.44,329.61,329.31,329.49,1498
1603990080,329.59,329.62,329.44,329.44,702
1603990140,329.57,329.65,329.46,329.59,1089
1603990200,329.54,329.71,329.53,329.57,917
1603990260,329.33,329.54,329.2,329.54,682
1603990320,329.44,329.5,329.19,329.33,787
1603990380,329.5,329.52,329.37,329.44,312
1603990440,329.45,329.57,329.41,329.5,614
1603990500,329.1,329.44,329.08,329.41,2069
1603990560,329.22,329.24,329.09,329.1,392
1603990620,329.28,329.29,329.15,329.22,312
1603990680,329.27,329.33,329.24,329.28,343
1603990740,329.2,329.29,329.11,329.27,600
1603990800,329.24,329.33,329.21,329.21,301
1603990860,329.32,329.37,329.25,329.25,391
1603990920,329.38,329.43,329.3,329.31,596
1603990980,329.31,329.38,329.23,329.38,477
1603991040,329.34,329.37,329.22,329.32,326
1603991100,329.19,329.38,329.1,329.35,693
1603991160,329.27,329.31,329.2,329.2,490
1603991220,329.05,329.32,328.82,329.28,2631
1603991280,328.87,329.13,328.85,329.07,1004
1603991340,328.77,328.94,328.68,328.87,882
1603991400,328.82,328.87,328.64,328.79,1144
1603991460,328.8,328.92,328.79,328.84,695
1603991520,328.94,328.94,328.8,328.81,388
1603991580,328.95,329.12,328.91,328.91,744
1603991640,329.01,329.02,328.9,328.96,336
1603991700,328.84,329.04,328.79,329.01,573
1603991760,328.68,328.88,328.57,328.84,688
1603991820,328.83,328.83,328.68,328.68,390
1603991880,328.84,328.88,328.82,328.83,249
1603991940,328.83,328.87,328.73,328.83,249
1603992000,328.9,329.02,328.8,328.83,946
1603992060,329.15,329.15,328.85,328.9,638
1603992120,329.41,329.46,329.11,329.16,1594
1603992180,329.49,329.49,329.34,329.41,641
1603992240,329.58,329.59,329.49,329.49,674
1603992300,329.55,329.59,329.51,329.57,813
1603992360,329.54,329.56,329.47,329.56,402
1603992420,329.69,329.7,329.55,329.55,884
1603992480,329.86,329.9,329.66,329.69,1440
1603992540,330.0,330.07,329.87,329.87,1722
1603992600,330.23,330.27,329.96,329.99,2231
1603992660,330.22,330.23,330.12,330.22,807
1603992720,330.21,330.28,330.17,330.21,609
1603992780,330.35,330.39,330.21,330.21,1143
1603992840,330.38,330.45,330.32,330.35,1788
1603992900,330.38,330.42,330.29,330.37,1215
1603992960,330.18,330.38,330.13,330.38,1577
1603993020,330.24,330.28,330.19,330.19,663
1603993080,330.18,330.26,330.14,330.24,748
1603993140,330.25,330.27,330.15,330.18,922
1603993200,330.42,330.43,330.25,330.25,682
1603993260,330.45,330.47,330.34,330.42,929
