Symbol,Name,IPOYear,Sector,industry,primaryExchange,secType,currency,exchange,priceIncrement
OIH,,,,,ARCA,STK,USD,SMART,
M,,,,,CBOE,OPT,USD,CBOE,
XAGUSD,,,,,SMART,CMDTY,USD,SMART,
1299,,,,,SEHK,STK,HKD,,
700,,,,,SEHK,STK,HKD,,
HSI,HSI,,,,SEHK,IOPT,HKD,SEHK,
GLD,,,,,ARCA,STK,USD,,
NQ,,,,,GLOBEX,FUT,USD,GLOBEX,
ES,,,,,GLOBEX,FUT,USD,GLOBEX,
YM,,,,,ECBOT,FUT,USD,,
SPX,,,,,CBOE,IND,USD,SMART,
VIX,,,,,CBOE,IND,USD,SMART,
GE,,,,,GLOBEX,FUT,USD,GLOBEX,
GC,,,,,NYMEX,FUT,USD,NYMEX,
CL,,,,,NYMEX,FUT,USD,NYMEX,
SSO,,,,,ARCA,STK,USD,,
SPY,,,,,ARCA,STK,USD,,
VXX,,,,,ARCA,STK,USD,,
EUR,,,,,,CFD,USD,SMART,
GDX,,,,,ARCA,STK,USD,,
UNG,,,,,ARCA,STK,USD,,
NUGT,,,,,ARCA,STK,USD,,
DUST,,,,,ARCA,STK,USD,,
UGAZ,,,,,ARCA,STK,USD,,
DGAZ,,,,,ARCA,STK,USD,,
XLB,,,,,ARCA,STK,USD,,
XLU,,,,,ARCA,STK,USD,,
XLV,,,,,ARCA,STK,USD,,
XLP,,,,,ARCA,STK,USD,,
XLK,,,,,ARCA,STK,USD,,
XLF,,,,,ARCA,STK,USD,,
XLI,,,,,ARCA,STK,USD,,
XLY,,,,,ARCA,STK,USD,,
TATASTEEL,,,,,NSE,STK,INR,NSE,
IWV,,,,,ARCA,STK,USD,,
EFA,,,,,ARCA,STK,USD,,
DAX,,,,,,FUT,EUR,DTB,
XXII,"22nd Century Group, Inc",,Consumer Non-Durables,Farming/Seeds/Milling,AMEX,STK,USD,,
FAX,Aberdeen Asia-Pacific Income Fund Inc,1986,n/a,n/a,AMEX,STK,USD,,
IAF,Aberdeen Australia Equity Fund Inc,,n/a,n/a,AMEX,STK,USD,,
AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc.",,n/a,n/a,AMEX,STK,USD,,
FCO,"Aberdeen Global Income Fund, Inc.",1992,n/a,n/a,AMEX,STK,USD,,
ACU,Acme United Corporation.,1988,Capital Goods,Industrial Machinery/Components,AMEX,STK,USD,,
ATNM,"Actinium Pharmaceuticals, Inc.",,Health Care,Major Pharmaceuticals,AMEX,STK,USD,,
AE,"Adams Resources & Energy, Inc.",,Energy,Oil Refining/Marketing,AMEX,STK,USD,,
ACY,AeroCentury Corp.,,Technology,Diversified Commercial Services,AMEX,STK,USD,,
UAVS,"AgEagle Aerial Systems, Inc.",,Energy,Oil & Gas Production,AMEX,STK,USD,,
AIRI,Air Industries Group,,Capital Goods,Military/Government/Technical,AMEX,STK,USD,,
AXU,Alexco Resource Corp,,Basic Industries,Precious Metals,AMEX,STK,USD,,
ALO,Alio Gold Inc.,2011,Basic Industries,Precious Metals,AMEX,STK,USD,,
AAU,"Almaden Minerals, Ltd.",2015,Basic Industries,Precious Metals,AMEX,STK,USD,,
APT,"Alpha Pro Tech, Ltd.",,Health Care,Industrial Specialties,AMEX,STK,USD,,
AAMC,Altisource Asset Management Corp,,Finance,Real Estate,AMEX,STK,USD,,
AMBO,Ambow Education Holding Ltd.,,Consumer Services,Other Consumer Services,AMEX,STK,USD,,
DIT,AMCON Distributing Company,,Consumer Non-Durables,Food Distributors,AMEX,STK,USD,,
ALN,American Lorain Corporation,,Consumer Non-Durables,Packaged Foods,AMEX,STK,USD,,
AMS,American Shared Hospital Services,,Health Care,Medical Specialities,AMEX,STK,USD,,
USAS,Americas Silver Corporation,2017,Basic Industries,Precious Metals,AMEX,STK,USD,,
AMPE,"Ampio Pharmaceuticals, Inc.",,Health Care,Major Pharmaceuticals,AMEX,STK,USD,,
APHB,AmpliPhi Biosciences Corporation,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),AMEX,STK,USD,,
AKG,Asanko Gold Inc.,,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),AMEX,STK,USD,,
AINC,Ashford Inc.,2014,Consumer Services,Professional Services,AMEX,STK,USD,,
AST,"Asterias Biotherapeutics, Inc.",,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),AMEX,STK,USD,,
AUG,Auryn Resources Inc.,,Basic Industries,Precious Metals,AMEX,STK,USD,,
AWX,Avalon Holdings Corporation,,Public Utilities,Environmental Services,AMEX,STK,USD,,
ASM,Avino Silver,,Basic Industries,Precious Metals,AMEX,STK,USD,,
BTG,B2Gold Corp,,Basic Industries,Precious Metals,AMEX,STK,USD,,
BTN,"Ballantyne Strong, Inc",,Miscellaneous,Industrial Machinery/Components,AMEX,STK,USD,,
BKJ,"Bancorp of New Jersey, Inc",,Finance,Major Banks,AMEX,STK,USD,,
BCV,Bancroft Fund Limited,,n/a,n/a,AMEX,STK,USD,,
BHB,"Bar Harbor Bankshares, Inc.",,Finance,Major Banks,AMEX,STK,USD,,
BRN,"Barnwell Industries, Inc.",,Energy,Oil & Gas Production,AMEX,STK,USD,,
BGSF,BG Staffing Inc,,Technology,Professional Services,AMEX,STK,USD,,
BPMX,BioPharmX Corporation,2015,Health Care,Major Pharmaceuticals,AMEX,STK,USD,,
BTX,"BioTime, Inc.",,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),AMEX,STK,USD,,
BGI,Birks Group Inc.,,Consumer Services,Consumer Specialties,AMEX,STK,USD,,
BKTI,"BK Technologies, Inc.",,Technology,Radio And Television Broadcasting And Communications Equipment,AMEX,STK,USD,,
BDR,"Blonder Tongue Laboratories, Inc.",,Technology,Radio And Television Broadcasting And Communications Equipment,AMEX,STK,USD,,
BRG,"Bluerock Residential Growth REIT, Inc.",2014,Consumer Services,Real Estate Investment Trusts,AMEX,STK,USD,,
BVX,Bovie Medical Corporation,,Health Care,Medical/Dental Instruments,AMEX,STK,USD,,
CMCL,Caledonia Mining Corporation Plc,,Basic Industries,Precious Metals,AMEX,STK,USD,,
CEI,"Camber Energy, Inc.",,Energy,Oil & Gas Production,AMEX,STK,USD,,
CANF,Can-Fite Biopharma Ltd,,Health Care,Major Pharmaceuticals,AMEX,STK,USD,,
ROX,"Castle Brands, Inc.",2006,Consumer Non-Durables,Beverages (Production/Distribution),AMEX,STK,USD,,
CAW,"CCA Industries, Inc.",,Consumer Non-Durables,Package Goods/Cosmetics,AMEX,STK,USD,,
CVM,Cel-Sci Corporation,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),AMEX,STK,USD,,
CET,Central Securities Corporation,,n/a,n/a,AMEX,STK,USD,,
LEU,Centrus Energy Corp.,2014,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),AMEX,STK,USD,,
CCF,Chase Corporation,,Consumer Durables,Building Products,AMEX,STK,USD,,
CQH,"Cheniere Energy Partners LP Holdings, LLC",2013,Public Utilities,Oil/Gas Transmission,AMEX,STK,USD,,
CQP,"Cheniere Energy Partners, LP",2007,Public Utilities,Oil/Gas Transmission,AMEX,STK,USD,,
LNG,"Cheniere Energy, Inc.",,Public Utilities,Oil/Gas Transmission,AMEX,STK,USD,,
CVR,Chicago Rivet & Machine Co.,,Technology,Industrial Machinery/Components,AMEX,STK,USD,,
CPHI,"China Pharma Holdings, Inc.",,Health Care,Major Pharmaceuticals,AMEX,STK,USD,,
CKX,"CKX Lands, Inc.",,Energy,Oil & Gas Production,AMEX,STK,USD,,
GLV,Clough Global Dividend and Income Fund,2004,n/a,n/a,AMEX,STK,USD,,
GLQ,Clough Global Equity Fund,2005,n/a,n/a,AMEX,STK,USD,,
GLO,Clough Global Opportunities Fund,2006,n/a,n/a,AMEX,STK,USD,,
