,close,high,low,open,volume
1602115200,343.78,343.85,341.86,342.85,318059
1602201600,346.85,347.35,344.89,345.57,394334
1602460800,352.43,354.02,349.06,349.57,462950
1602547200,350.13,352.44,349.09,352.26,446135
1602633600,347.93,351.93,347.14,350.74,418269
1602720000,347.5,348.02,343.13,343.7,460760
1602806400,347.29,350.75,347.1,348.96,406620
1603065600,342.01,349.33,341.04,348.65,494370
1603152000,343.38,346.88,342.64,343.46,461271
1603238400,342.73,345.67,342.4,343.32,483493
1603324800,344.61,345.24,340.65,342.96,406683
1603411200,345.78,345.99,343.13,345.93,334501
1603670400,339.39,342.98,335.62,342.13,683283
1603756800,338.22,340.12,337.99,339.75,440703
1603843200,326.66,332.84,326.13,332.11,915353
1603929600,329.98,333.4,325.09,326.91,626914
1604016000,326.54,329.69,322.6,328.28,821959
1604275200,330.2,332.36,327.24,330.2,597543
1604361600,336.03,338.25,333.17,333.7,643419
1604448000,343.54,347.94,339.59,340.85,866751
1604534400,350.24,352.19,348.86,349.24,598948
1604620800,350.16,351.51,347.65,349.93,429252
1604880000,354.56,364.38,354.06,363.97,1015083
1604966400,354.04,355.18,350.51,353.48,593450
1605052800,356.67,357.56,355.06,356.4,370273
1605139200,353.21,356.42,351.26,355.58,512632
1605225600,358.1,358.9,354.71,355.27,429835
1605484800,362.57,362.59,359.59,360.98,516569
1605571200,360.62,361.92,358.34,359.96,420360
1605657600,356.28,361.5,356.24,360.9,449211
1605744000,357.78,358.18,354.15,355.59,380793
1605830400,355.33,357.72,355.25,357.48,335024
1606089600,357.46,358.82,354.86,357.28,387248
1606176000,363.22,363.81,359.29,360.21,455484
1606262400,362.66,363.16,361.48,363.13,281993
1606435200,363.67,364.18,362.58,363.83,161758
1606694400,362.06,363.12,359.17,362.83,495319
1606780800,366.02,367.68,364.93,365.54,450489
1606867200,366.79,366.96,364.2,364.82,300616
1606953600,366.69,368.19,365.5,366.69,434693
1607040000,369.85,369.85,367.22,367.3,330119
1607299200,369.09,369.62,367.72,368.4,293090
1607385600,370.17,370.78,367.67,367.69,269841
1607472000,366.85,371.05,365.95,370.88,499276
1607558400,366.73,367.86,364.43,365.37,344586
1607644800,366.3,366.58,363.26,364.9,365387
1607904000,364.66,369.8,364.47,368.62,437356
1607990400,369.59,369.59,365.92,367.4,348842
1608076800,370.17,371.16,368.86,369.82,330969
1608163200,372.24,372.46,371.05,371.94,287860
1608249600,369.18,371.15,367.02,370.97,542187
1608508800,367.86,373.0,362.03,364.97,628768
1608595200,367.24,368.34,366.03,368.21,317473
1608681600,367.57,369.62,367.39,368.26,282032
1608768000,369.0,369.01,367.45,368.08,152073
